[2025-08-07 14:15:36] Shell.ssd_write()              : [Write] Done - 12, 0x34C3A9BA
[2025-08-07 14:15:37] Shell.read_output()            : function executed
[2025-08-07 14:15:37] Shell.read_output()            : {'0': '0x19A423DE'}
[2025-08-07 14:15:37] Shell.ssd_read()               : [Read] LBA 10 : 0x19A423DE
[2025-08-07 14:15:37] Shell.ssd_read()               : read 11, for_script is True
[2025-08-07 14:15:37] Shell.read_output()            : function executed
[2025-08-07 14:15:37] Shell.read_output()            : {'0': '0x8E3765E8'}
[2025-08-07 14:15:37] Shell.ssd_read()               : [Read] LBA 11 : 0x8E3765E8
[2025-08-07 14:15:37] Shell.ssd_read()               : read 12, for_script is True
[2025-08-07 14:15:37] Shell.read_output()            : function executed
[2025-08-07 14:15:37] Shell.read_output()            : {'0': '0xF58637ED'}
[2025-08-07 14:15:37] Shell.ssd_read()               : [Read] LBA 12 : 0xF58637ED
[2025-08-07 14:15:37] Shell.ssd_read()               : read 13, for_script is True
[2025-08-07 14:15:37] Shell.read_output()            : function executed
[2025-08-07 14:15:37] Shell.read_output()            : {'0': '0x9B057FFD'}
[2025-08-07 14:15:37] Shell.ssd_read()               : [Read] LBA 13 : 0x9B057FFD
[2025-08-07 14:16:07] Shell.read_command()           : wait command, preset command: 1_FullWriteAndReadCompare
[2025-08-07 14:16:07] Shell.read_command()           : input command: 1_FullWriteAndReadCompare
[2025-08-07 14:16:07] Shell.valid_check()            : command_args: ['1_FullWriteAndReadCompare']
[2025-08-07 14:16:07] Shell.is_valid_format()        : command_args: ['1_FullWriteAndReadCompare']
[2025-08-07 14:16:07] Shell.is_invalid_command()     : command_args: ['1_FullWriteAndReadCompare']
[2025-08-07 14:16:07] Shell.is_invalid_command()     : return False
[2025-08-07 14:16:07] Shell.is_invalid_para_length() : command_args: ['1_FullWriteAndReadCompare']
[2025-08-07 14:16:07] Shell.run_command()            : run command with 1_FullWriteAndReadCompare
[2025-08-07 14:16:07] Shell.script_1()               : script1 executed
[2025-08-07 14:16:07] Shell.ssd_write()              : read 0, content 0x22958401, for_script is True
[2025-08-07 14:16:07] Shell.ssd_write()              : [Write] Done - 0, 0x22958401
[2025-08-07 14:16:07] Shell.ssd_write()              : read 1, content 0x09A0180F, for_script is True
[2025-08-07 14:16:07] Shell.ssd_write()              : [Write] Done - 1, 0x09A0180F
[2025-08-07 14:16:07] Shell.ssd_write()              : read 2, content 0x0E64AA13, for_script is True
[2025-08-07 14:16:07] Shell.ssd_write()              : [Write] Done - 2, 0x0E64AA13
[2025-08-07 14:16:07] Shell.ssd_write()              : read 3, content 0xDFF02215, for_script is True
[2025-08-07 14:16:07] Shell.ssd_write()              : [Write] Done - 3, 0xDFF02215
[2025-08-07 14:16:07] Shell.ssd_write()              : read 4, content 0xC0D1D815, for_script is True
[2025-08-07 14:16:07] Shell.ssd_write()              : [Write] Done - 4, 0xC0D1D815
[2025-08-07 14:16:07] Shell.ssd_read()               : read 0, for_script is True
[2025-08-07 14:16:07] Shell.read_output()            : function executed
[2025-08-07 14:16:07] Shell.read_output()            : {'0': '0x22958401'}
[2025-08-07 14:16:07] Shell.ssd_read()               : [Read] LBA 0 : 0x22958401
[2025-08-07 14:16:07] Shell.ssd_read()               : read 1, for_script is True
[2025-08-07 14:16:07] Shell.read_output()            : function executed
[2025-08-07 14:16:07] Shell.read_output()            : {'0': '0x09A0180F'}
[2025-08-07 14:16:07] Shell.ssd_read()               : [Read] LBA 1 : 0x09A0180F
[2025-08-07 14:16:07] Shell.ssd_read()               : read 2, for_script is True
[2025-08-07 14:16:07] Shell.read_output()            : function executed
[2025-08-07 14:16:07] Shell.read_output()            : {'0': '0x0E64AA13'}
[2025-08-07 14:16:07] Shell.ssd_read()               : [Read] LBA 2 : 0x0E64AA13
[2025-08-07 14:16:07] Shell.ssd_read()               : read 3, for_script is True
[2025-08-07 14:16:07] Shell.read_output()            : function executed
[2025-08-07 14:16:07] Shell.read_output()            : {'0': '0xDFF02215'}
[2025-08-07 14:16:07] Shell.ssd_read()               : [Read] LBA 3 : 0xDFF02215
[2025-08-07 14:16:07] Shell.ssd_read()               : read 4, for_script is True
[2025-08-07 14:16:07] Shell.read_output()            : function executed
[2025-08-07 14:16:07] Shell.read_output()            : {'0': '0xC0D1D815'}
[2025-08-07 14:16:07] Shell.ssd_read()               : [Read] LBA 4 : 0xC0D1D815
[2025-08-07 14:16:07] Shell.ssd_write()              : read 1, content 0x2EC5B435, for_script is True
[2025-08-07 14:16:07] Shell.ssd_write()              : [Write] Done - 1, 0x2EC5B435
[2025-08-07 14:16:07] Shell.ssd_write()              : read 2, content 0x0B22343B, for_script is True
[2025-08-07 14:16:07] Shell.ssd_write()              : [Write] Done - 2, 0x0B22343B
[2025-08-07 14:16:07] Shell.ssd_write()              : read 3, content 0x7F4E2E41, for_script is True
[2025-08-07 14:16:07] Shell.ssd_write()              : [Write] Done - 3, 0x7F4E2E41
[2025-08-07 14:16:07] Shell.ssd_write()              : read 4, content 0x55728849, for_script is True
[2025-08-07 14:16:07] Shell.ssd_write()              : [Write] Done - 4, 0x55728849
[2025-08-07 14:16:07] Shell.ssd_write()              : read 5, content 0x783BFA56, for_script is True
[2025-08-07 14:16:07] Shell.ssd_write()              : [Write] Done - 5, 0x783BFA56
[2025-08-07 14:16:07] Shell.ssd_read()               : read 1, for_script is True
[2025-08-07 14:16:07] Shell.read_output()            : function executed
[2025-08-07 14:16:07] Shell.read_output()            : {'0': '0x2EC5B435'}
[2025-08-07 14:16:07] Shell.ssd_read()               : [Read] LBA 1 : 0x2EC5B435
[2025-08-07 14:16:07] Shell.ssd_read()               : read 2, for_script is True
[2025-08-07 14:16:07] Shell.read_output()            : function executed
[2025-08-07 14:16:07] Shell.read_output()            : {'0': '0x0B22343B'}
[2025-08-07 14:16:07] Shell.ssd_read()               : [Read] LBA 2 : 0x0B22343B
[2025-08-07 14:16:07] Shell.ssd_read()               : read 3, for_script is True
[2025-08-07 14:16:08] Shell.read_output()            : function executed
[2025-08-07 14:16:08] Shell.read_output()            : {'0': '0x7F4E2E41'}
[2025-08-07 14:16:08] Shell.ssd_read()               : [Read] LBA 3 : 0x7F4E2E41
[2025-08-07 14:16:08] Shell.ssd_read()               : read 4, for_script is True
[2025-08-07 14:16:08] Shell.read_output()            : function executed
[2025-08-07 14:16:08] Shell.read_output()            : {'0': '0x55728849'}
[2025-08-07 14:16:08] Shell.ssd_read()               : [Read] LBA 4 : 0x55728849
[2025-08-07 14:16:08] Shell.ssd_read()               : read 5, for_script is True
[2025-08-07 14:16:08] Shell.read_output()            : function executed
[2025-08-07 14:16:08] Shell.read_output()            : {'0': '0x783BFA56'}
[2025-08-07 14:16:08] Shell.ssd_read()               : [Read] LBA 5 : 0x783BFA56
[2025-08-07 14:16:08] Shell.ssd_write()              : read 2, content 0x55D49E72, for_script is True
[2025-08-07 14:16:08] Shell.ssd_write()              : [Write] Done - 2, 0x55D49E72
