[2025-08-07 14:16:42] Shell.read_output()            : {'0': '0xEE93ABE0'}
[2025-08-07 14:16:43] Shell.ssd_read()               : [Read] LBA 4 : 0x1663BC10
[2025-08-07 14:16:43] Shell.ssd_write()              : read 1, content 0x1CCAC025, for_script is True
[2025-08-07 14:16:43] Shell.ssd_write()              : [Write] Done - 1, 0x1CCAC025
[2025-08-07 14:16:43] Shell.ssd_write()              : read 2, content 0x6AB0DA27, for_script is True
[2025-08-07 14:16:43] Shell.ssd_write()              : [Write] Done - 2, 0x6AB0DA27
[2025-08-07 14:16:43] Shell.ssd_write()              : read 3, content 0x7CEA0630, for_script is True
[2025-08-07 14:16:43] Shell.ssd_write()              : [Write] Done - 3, 0x7CEA0630
[2025-08-07 14:16:43] Shell.ssd_write()              : read 4, content 0x139F7633, for_script is True
[2025-08-07 14:16:43] Shell.ssd_write()              : [Write] Done - 4, 0x139F7633
[2025-08-07 14:16:43] Shell.ssd_write()              : read 5, content 0x26ABFE34, for_script is True
[2025-08-07 14:16:43] Shell.ssd_write()              : [Write] Done - 5, 0x26ABFE34
[2025-08-07 14:16:43] Shell.ssd_read()               : read 1, for_script is True
[2025-08-07 14:16:43] Shell.read_output()            : function executed
[2025-08-07 14:16:43] Shell.read_output()            : {'0': '0x1CCAC025'}
[2025-08-07 14:16:43] Shell.ssd_read()               : [Read] LBA 1 : 0x1CCAC025
[2025-08-07 14:16:43] Shell.ssd_read()               : read 2, for_script is True
[2025-08-07 14:16:43] Shell.read_output()            : function executed
[2025-08-07 14:16:43] Shell.read_output()            : {'0': '0x6AB0DA27'}
[2025-08-07 14:16:43] Shell.ssd_read()               : [Read] LBA 2 : 0x6AB0DA27
[2025-08-07 14:16:43] Shell.ssd_read()               : read 3, for_script is True
[2025-08-07 14:16:43] Shell.read_output()            : function executed
[2025-08-07 14:16:43] Shell.read_output()            : {'0': '0x7CEA0630'}
[2025-08-07 14:16:43] Shell.ssd_read()               : [Read] LBA 3 : 0x7CEA0630
[2025-08-07 14:16:43] Shell.ssd_read()               : read 4, for_script is True
[2025-08-07 14:16:43] Shell.read_output()            : function executed
[2025-08-07 14:16:43] Shell.read_output()            : {'0': '0x139F7633'}
[2025-08-07 14:16:43] Shell.ssd_read()               : [Read] LBA 4 : 0x139F7633
[2025-08-07 14:16:43] Shell.ssd_read()               : read 5, for_script is True
[2025-08-07 14:16:43] Shell.read_output()            : function executed
[2025-08-07 14:16:43] Shell.read_output()            : {'0': '0x26ABFE34'}
[2025-08-07 14:16:43] Shell.ssd_read()               : [Read] LBA 5 : 0x26ABFE34
[2025-08-07 14:16:43] Shell.ssd_write()              : read 2, content 0x06C6824B, for_script is True
[2025-08-07 14:16:43] Shell.ssd_write()              : [Write] Done - 2, 0x06C6824B
[2025-08-07 14:16:43] Shell.ssd_write()              : read 3, content 0xE8DA3C4E, for_script is True
[2025-08-07 14:16:43] Shell.ssd_write()              : [Write] Done - 3, 0xE8DA3C4E
[2025-08-07 14:16:43] Shell.ssd_write()              : read 4, content 0x2D29AE4E, for_script is True
[2025-08-07 14:16:44] Shell.ssd_write()              : [Write] Done - 4, 0x2D29AE4E
[2025-08-07 14:16:44] Shell.ssd_write()              : read 5, content 0x61266459, for_script is True
[2025-08-07 14:16:44] Shell.ssd_write()              : [Write] Done - 5, 0x61266459
[2025-08-07 14:16:44] Shell.ssd_write()              : read 6, content 0x4262A25A, for_script is True
[2025-08-07 14:16:44] Shell.ssd_write()              : [Write] Done - 6, 0x4262A25A
[2025-08-07 14:16:44] Shell.ssd_read()               : read 2, for_script is True
[2025-08-07 14:16:44] Shell.read_output()            : function executed
[2025-08-07 14:16:44] Shell.read_output()            : {'0': '0x06C6824B'}
[2025-08-07 14:16:44] Shell.ssd_read()               : [Read] LBA 2 : 0x06C6824B
[2025-08-07 14:16:44] Shell.ssd_read()               : read 3, for_script is True
[2025-08-07 14:16:44] Shell.read_output()            : function executed
[2025-08-07 14:16:44] Shell.read_output()            : {'0': '0xE8DA3C4E'}
[2025-08-07 14:16:44] Shell.ssd_read()               : [Read] LBA 3 : 0xE8DA3C4E
[2025-08-07 14:16:44] Shell.ssd_read()               : read 4, for_script is True
[2025-08-07 14:16:44] Shell.read_output()            : function executed
[2025-08-07 14:16:44] Shell.read_output()            : {'0': '0x2D29AE4E'}
[2025-08-07 14:16:44] Shell.ssd_read()               : [Read] LBA 4 : 0x2D29AE4E
[2025-08-07 14:16:44] Shell.ssd_read()               : read 5, for_script is True
[2025-08-07 14:16:44] Shell.read_output()            : function executed
[2025-08-07 14:16:44] Shell.read_output()            : {'0': '0x61266459'}
[2025-08-07 14:16:44] Shell.ssd_read()               : [Read] LBA 5 : 0x61266459
[2025-08-07 14:16:44] Shell.ssd_read()               : read 6, for_script is True
[2025-08-07 14:16:44] Shell.read_output()            : function executed
[2025-08-07 14:16:44] Shell.read_output()            : {'0': '0x4262A25A'}
[2025-08-07 14:16:44] Shell.ssd_read()               : [Read] LBA 6 : 0x4262A25A
[2025-08-07 14:16:44] Shell.ssd_write()              : read 3, content 0x4D92CE70, for_script is True
[2025-08-07 14:16:44] Shell.ssd_write()              : [Write] Done - 3, 0x4D92CE70
[2025-08-07 14:16:44] Shell.ssd_write()              : read 4, content 0x4EBCF875, for_script is True
[2025-08-07 14:16:44] Shell.ssd_write()              : [Write] Done - 4, 0x4EBCF875
[2025-08-07 14:16:44] Shell.ssd_write()              : read 5, content 0x38330A78, for_script is True
[2025-08-07 14:16:44] Shell.ssd_write()              : [Write] Done - 5, 0x38330A78
[2025-08-07 14:16:44] Shell.ssd_write()              : read 6, content 0x52DCFE7C, for_script is True
[2025-08-07 14:16:44] Shell.ssd_write()              : [Write] Done - 6, 0x52DCFE7C
[2025-08-07 14:16:44] Shell.ssd_write()              : read 7, content 0x1F05AE7D, for_script is True
[2025-08-07 14:16:44] Shell.ssd_write()              : [Write] Done - 7, 0x1F05AE7D
[2025-08-07 14:16:44] Shell.ssd_read()               : read 3, for_script is True
[2025-08-07 14:16:44] Shell.read_output()            : function executed
[2025-08-07 14:16:44] Shell.read_output()            : {'0': '0x4D92CE70'}
[2025-08-07 14:16:44] Shell.ssd_read()               : [Read] LBA 3 : 0x4D92CE70
[2025-08-07 14:16:44] Shell.ssd_read()               : read 4, for_script is True
[2025-08-07 14:16:44] Shell.read_output()            : function executed
[2025-08-07 14:16:44] Shell.read_output()            : {'0': '0x4EBCF875'}
[2025-08-07 14:16:44] Shell.ssd_read()               : [Read] LBA 4 : 0x4EBCF875
[2025-08-07 14:16:44] Shell.ssd_read()               : read 5, for_script is True
[2025-08-07 14:16:44] Shell.read_output()            : function executed
